"sep=	"
Shimmer_6749_TimestampSync_Unix_CAL	Shimmer_6749_ECG_EMG_Status1_CAL	Shimmer_6749_ECG_EMG_Status2_CAL	Shimmer_6749_ECG_LA-RA_24BIT_CAL	Shimmer_6749_ECG_LL-LA_24BIT_CAL	Shimmer_6749_ECG_LL-RA_24BIT_CAL	Shimmer_6749_ECG_Vx-RL_24BIT_CAL	
ms	no_units	no_units	mV	mV	mV	mV	
1.73882105354408E12	128.0	128.0	32.758869857653366	-19.13141597883892	13.627453878814446	-605.0000721216288	
1.7388210535636091E12	128.0	128.0	32.89510761441083	-19.10754371971413	13.787563894696701	-605.0000721216288	
1.7388210535831382E12	128.0	128.0	32.95446371489331	-19.40057389743017	13.553889817463139	-605.0000721216288	
1.7388210536026672E12	128.0	128.0	33.10224093225491	-19.31063822634676	13.791602705908145	-605.0000721216288	
1.7388210536221963E12	128.0	128.0	33.192753576368524	-19.62544913595309	13.567304440415436	-605.0000721216288	
1.7388210536417253E12	128.0	128.0	33.34514657797177	-19.5244067340382	13.820739843933564	-605.0000721216288	
1.7388210536612542E12	128.0	128.0	33.41294090902101	-19.817725398269346	13.595215510751666	-605.0000721216288	
1.7388210536807832E12	128.0	128.0	33.54261559755988	-19.71870240196018	13.8239131955997	-605.0000721216288	
1.7388210537003123E12	128.0	128.0	33.600024414065416	-20.00415980865477	13.595864605410648	-605.0000721216288	
1.7388210537198413E12	128.0	128.0	33.736911265481865	-19.900304663217625	13.836606602264238	-605.0000721216288	
1.7388210537393704E12	128.0	128.0	33.82316873349771	-20.198383354947968	13.624785378549742	-605.0000721216288	
1.7388210537588994E12	128.0	128.0	33.838674883684504	-20.555096930873027	13.283577952811475	-605.0000721216288	
1.7388210537784285E12	128.0	128.0	34.049197918081035	-20.398809361315887	13.650388556765147	-605.0000721216288	
1.7388210537979575E12	128.0	128.0	34.059655554253524	-20.746796220159077	13.312859334094446	-605.0000721216288	
1.7388210538174866E12	128.0	128.0	34.24039235596566	-20.576228568104337	13.664163787861323	-605.0000721216288	
1.7388210538370154E12	128.0	128.0	34.26505795300698	-20.93921672573289	13.325841227274088	-605.0000721216288	
1.7388210538565444E12	128.0	128.0	34.442982011196854	-20.758840532164637	13.684141479032217	-605.0000721216288	
1.7388210538760735E12	128.0	128.0	34.47904282558475	-21.13279117736711	13.346251648217637	-605.0000721216288	
1.7388210538956025E12	128.0	128.0	34.52512854637248	-21.210466171558636	13.31466237481384	-605.0000721216288	
1.7388210539151316E12	128.0	128.0	34.687185846231685	-21.335957805628517	13.351228040603166	-605.0000721216288	
1.7388210539346606E12	128.0	128.0	34.723174538990804	-21.415147354024334	13.308027184966468	-605.0000721216288	
1.7388210539541897E12	128.0	128.0	34.87001417517831	-21.481066522725406	13.388947652452906	-605.0000721216288	
1.7388210539737188E12	128.0	128.0	34.90809439517193	-21.562131233469394	13.345963161702533	-605.0000721216288	
1.7388210539932476E12	128.0	128.0	35.04923642268615	-21.640094714176023	13.409141708510127	-605.0000721216288	
1.7388210540127766E12	128.0	128.0	35.086595426392016	-21.74596926521889	13.340626161173125	-605.0000721216288	
1.7388210540323057E12	128.0	128.0	35.24107995522976	-21.830784300659218	13.41029565457054	-605.0000721216288	
1.7388210540518347E12	128.0	128.0	35.253989726780624	-21.92151330965916	13.33247641712146	-605.0000721216288	
1.7388210540713638E12	128.0	128.0	35.36837463001903	-21.72671279033575	13.641661839683277	-605.0000721216288	
1.7388210540908928E12	128.0	128.0	35.45383876011834	-22.122372045799736	13.3314667143186	-605.0000721216288	
1.7388210541104219E12	128.0	128.0	35.55653995949506	-21.915599336099543	13.640940623395519	-605.0000721216288	
1.738821054129951E12	128.0	128.0	35.63623435929232	-22.304046428685957	13.332187930606358	-605.0000721216288	
1.73882105414948E12	128.0	128.0	35.72097727310387	-22.108668936332343	13.612308336771529	-605.0000721216288	
1.7388210541690088E12	128.0	128.0	35.80420563271113	-22.459829146841663	13.344376485869466	-605.0000721216288	
1.7388210541885378E12	128.0	128.0	35.89796375011966	-22.254210383201883	13.643753366917775	-605.0000721216288	
1.738821054208067E12	128.0	128.0	36.01703655922849	-22.076646933155885	13.940389626072601	-605.0000721216288	
1.738821054227596E12	128.0	128.0	36.06016529323641	-22.434514455141358	13.625650838095051	-605.0000721216288	
1.738821054247125E12	128.0	128.0	36.196691536508986	-22.252335220853716	13.94435631565527	-605.0000721216288	
1.738821054266654E12	128.0	128.0	36.23960390563058	-22.607317877688157	13.632286027942424	-605.0000721216288	
